id,date,home_team,away_team,rank_change_home,rank_change_away,home_goals_mean,home_goals_mean_l5,home_goals_suf_mean,home_goals_suf_mean_l5,home_rank_mean,home_rank_mean_l5,home_points_mean,home_points_mean_l5,away_goals_mean,away_goals_mean_l5,away_goals_suf_mean,away_goals_suf_mean_l5,away_rank_mean,away_rank_mean_l5,away_points_mean,away_points_mean_l5,match_type
3233,2022-09-27,Norway,Serbia,0.0,0.0,1.7619047619047619,1.4,0.8809523809523809,1.0,63.54761904761905,38.6,82.56999999999994,25.069999999999936,1.8,2.2,1.1111111111111112,1.0,54.53333333333333,42.0,90.52999999999997,2.0,Friendly
2432,2021-11-13,Malawi,Cameroon,5.0,-4.0,0.7096774193548387,0.6,1.096774193548387,1.4,103.48387096774194,83.4,13.5,-8.8900000000001,1.0833333333333333,1.4,0.4583333333333333,0.2,89.41666666666667,82.8,-11.539999999999964,-0.4099999999998545,Friendly
245,2018-11-18,San Marino,Belarus,5.0,-2.0,0.0,0.0,2.8,2.8,117.8,117.8,-14.0,-14.0,1.6,1.6,0.0,0.0,143.4,143.4,1.0,1.0,Friendly
465,2019-03-24,El Salvador,Jamaica,3.0,0.0,1.5,1.4,1.3333333333333333,1.4,133.5,119.4,-5.0,-5.0,2.6,2.6,1.2,1.2,148.6,148.6,1.0,1.0,Friendly
2419,2021-11-12,Austria,Israel,3.0,0.0,1.4210526315789473,1.2,1.0526315789473684,1.4,53.63157894736842,85.8,2.8199999999999363,-30.299999999999955,1.8064516129032258,2.6,1.6129032258064515,2.2,60.87096774193548,74.6,54.32999999999993,22.1099999999999,Friendly
4655,2024-06-11,Chile,Paraguay,0.0,0.0,1.1111111111111112,1.0,1.2380952380952381,1.4,38.79365079365079,41.6,-80.18000000000006,-14.930000000000064,0.8333333333333334,0.2,1.1851851851851851,0.4,36.5,34.0,-46.26999999999998,-1.349999999999909,Competition
3633,2023-06-15,Philippines,Nepal,2.0,-1.0,1.1142857142857143,0.6,1.7142857142857142,3.0,128.25714285714287,134.2,-58.84999999999991,-1.9800000000000182,0.8108108108108109,1.8,1.864864864864865,0.6,147.67567567567568,189.0,-47.059999999999945,6.490000000000009,Competition
2893,2022-06-04,El Salvador,Grenada,4.0,1.0,0.851063829787234,0.4,1.1702127659574468,2.2,82.40425531914893,54.8,-0.34999999999990905,-17.819999999999936,0.7142857142857143,0.2,2.142857142857143,2.4,132.0,112.2,-5.970000000000027,-43.54000000000008,Friendly
1315,2020-10-08,Uruguay,Chile,1.0,0.0,1.6875,1.4,1.0625,1.0,30.75,23.8,15.0,5.0,1.2222222222222223,1.0,1.2777777777777777,1.2,35.27777777777778,34.2,6.0,15.0,Friendly
2722,2022-03-25,Egypt,Senegal,-11.0,-2.0,1.605263157894737,0.8,0.5,0.2,95.5,65.8,96.76999999999998,0.0,1.5853658536585367,1.2,0.5853658536585366,0.4,98.6829268292683,85.8,63.680000000000064,0.0,Friendly
